Noise,T60 (ms),SNR (dB),Method,SI-SDR,ESTOI,PESQ
WGN,150,0,DS,-0.98,0.646,1.07
WGN,150,0,MVDR,-0.79,0.663,1.08
WGN,150,10,DS,0.56,0.850,1.31
WGN,150,10,MVDR,0.50,0.855,1.35
WGN,300,0,DS,0.07,0.564,1.07
WGN,300,0,MVDR,0.65,0.592,1.10
WGN,300,10,DS,1.95,0.756,1.31
WGN,300,10,MVDR,2.09,0.771,1.41
INTERFERER,150,0,DS,-2.94,0.685,1.33
INTERFERER,150,0,MVDR,-0.21,0.898,2.83
INTERFERER,150,10,DS,0.19,0.853,1.98
INTERFERER,150,10,MVDR,0.28,0.913,3.24
INTERFERER,300,0,DS,-2.90,0.575,1.27
INTERFERER,300,0,MVDR,-1.14,0.689,1.81
INTERFERER,300,10,DS,1.33,0.767,1.86
INTERFERER,300,10,MVDR,-0.59,0.746,2.11
